date,g,f,m,i,p,ticker
11/11/2016,0.65,0.462,0.836,0.424,4.15,GRPN
11/14/2016,0.652,0.462,0.852,0.42,4.0,GRPN
11/15/2016,0.652,0.466,0.828,0.43,4.02,GRPN
11/16/2016,0.648,0.464,0.832,0.426,4.09,GRPN
11/17/2016,0.648,0.464,0.838,0.424,3.96,GRPN
11/18/2016,0.648,0.462,0.818,0.43,3.94,GRPN
11/21/2016,0.648,0.462,0.812,0.432,3.98,GRPN
11/22/2016,0.644,0.462,0.816,0.43,4.05,GRPN
11/23/2016,0.642,0.462,0.828,0.426,4.05,GRPN
11/24/2016,0.644,0.462,0.824,0.428,4.05,GRPN
11/25/2016,0.644,0.462,0.824,0.428,4.11,GRPN
11/28/2016,0.644,0.462,0.836,0.424,3.99,GRPN
11/29/2016,0.642,0.462,0.818,0.428,3.96,GRPN
11/30/2016,0.636,0.46,0.814,0.428,3.97,GRPN
12/1/2016,0.636,0.46,0.808,0.43,3.75,GRPN
12/2/2016,0.636,0.458,0.778,0.438,3.79,GRPN
12/5/2016,0.636,0.46,0.786,0.436,3.8,GRPN
12/6/2016,0.636,0.46,0.784,0.436,3.82,GRPN
12/7/2016,0.634,0.46,0.784,0.436,3.96,GRPN
12/8/2016,0.634,0.46,0.802,0.43,3.89,GRPN
12/9/2016,0.636,0.456,0.786,0.436,3.87,GRPN
12/12/2016,0.632,0.46,0.778,0.438,3.78,GRPN
12/13/2016,0.632,0.46,0.766,0.442,3.76,GRPN
12/14/2016,0.632,0.458,0.756,0.444,3.64,GRPN
12/15/2016,0.632,0.46,0.722,0.456,3.59,GRPN
12/16/2016,0.63,0.46,0.708,0.46,3.62,GRPN
12/19/2016,0.654,0.462,0.714,0.468,3.59,GRPN
12/20/2016,0.656,0.462,0.704,0.472,3.64,GRPN
12/21/2016,0.654,0.462,0.72,0.466,3.61,GRPN
12/22/2016,0.654,0.462,0.716,0.466,3.52,GRPN
12/23/2016,0.654,0.462,0.682,0.478,3.52,GRPN
12/26/2016,0.654,0.462,0.682,0.478,3.52,GRPN
12/27/2016,0.654,0.462,0.684,0.478,3.6,GRPN
12/28/2016,0.654,0.462,0.714,0.466,3.5,GRPN
12/29/2016,0.654,0.462,0.678,0.48,3.33,GRPN
12/30/2016,0.654,0.462,0.624,0.498,3.32,GRPN
1/2/2017,0.656,0.464,0.624,0.498,3.32,GRPN
1/3/2017,0.656,0.464,0.624,0.498,3.5,GRPN
1/4/2017,0.652,0.466,0.674,0.482,3.51,GRPN
1/5/2017,0.65,0.466,0.674,0.482,3.66,GRPN
1/6/2017,0.65,0.466,0.72,0.466,3.53,GRPN
1/9/2017,0.648,0.464,0.68,0.478,3.52,GRPN
1/10/2017,0.642,0.466,0.686,0.474,3.52,GRPN
1/11/2017,0.636,0.464,0.684,0.472,3.5,GRPN
1/12/2017,0.636,0.464,0.672,0.476,3.57,GRPN
1/13/2017,0.636,0.464,0.698,0.466,3.58,GRPN
1/16/2017,0.636,0.464,0.702,0.466,3.58,GRPN
1/17/2017,0.634,0.464,0.702,0.466,3.54,GRPN
1/18/2017,0.636,0.464,0.688,0.47,3.51,GRPN
1/19/2017,0.636,0.466,0.676,0.476,3.51,GRPN
1/20/2017,0.636,0.464,0.68,0.474,3.45,GRPN
1/23/2017,0.638,0.464,0.658,0.482,3.47,GRPN
1/24/2017,0.64,0.468,0.666,0.48,3.49,GRPN
1/25/2017,0.64,0.468,0.666,0.48,3.49,GRPN
1/26/2017,0.642,0.468,0.66,0.482,3.43,GRPN
1/27/2017,0.64,0.47,0.648,0.488,3.45,GRPN
1/30/2017,0.64,0.468,0.656,0.484,3.4,GRPN
1/31/2017,0.64,0.468,0.646,0.488,3.45,GRPN
2/1/2017,0.64,0.468,0.656,0.484,3.47,GRPN
2/2/2017,0.64,0.468,0.662,0.482,3.52,GRPN
2/3/2017,0.642,0.468,0.674,0.478,3.5,GRPN
2/6/2017,0.646,0.472,0.662,0.486,3.55,GRPN
2/7/2017,0.646,0.47,0.686,0.476,3.5,GRPN
2/8/2017,0.646,0.468,0.668,0.482,3.54,GRPN
2/9/2017,0.648,0.468,0.68,0.478,3.61,GRPN
2/10/2017,0.644,0.468,0.694,0.472,3.58,GRPN
2/13/2017,0.644,0.47,0.676,0.48,3.56,GRPN
2/14/2017,0.644,0.464,0.668,0.48,3.78,GRPN
2/15/2017,0.642,0.466,0.742,0.454,4.64,GRPN
2/17/2017,0.372,0.28,0.66,0.33,4.66,GRPN
2/20/2017,0.366,0.276,0.666,0.326,4.66,GRPN
2/21/2017,0.366,0.278,0.662,0.328,4.74,GRPN
2/22/2017,0.362,0.28,0.678,0.32,4.52,GRPN
2/23/2017,0.364,0.28,0.616,0.342,4.42,GRPN
2/24/2017,0.362,0.278,0.592,0.35,4.47,GRPN
2/27/2017,0.364,0.278,0.612,0.344,4.49,GRPN
2/28/2017,0.364,0.278,0.612,0.344,4.23,GRPN
3/1/2017,0.364,0.28,0.552,0.364,4.26,GRPN
3/2/2017,0.362,0.28,0.554,0.362,4.14,GRPN
3/3/2017,0.36,0.28,0.526,0.372,4.02,GRPN
3/6/2017,0.356,0.278,0.49,0.382,4.04,GRPN
3/7/2017,0.354,0.278,0.502,0.376,4.07,GRPN
3/8/2017,0.354,0.278,0.514,0.372,4.1,GRPN
3/9/2017,0.356,0.278,0.52,0.372,4.04,GRPN
3/10/2017,0.356,0.278,0.51,0.374,3.98,GRPN
3/13/2017,0.354,0.28,0.484,0.384,3.97,GRPN
3/14/2017,0.35,0.28,0.488,0.38,3.93,GRPN
3/15/2017,0.35,0.284,0.478,0.384,4.0,GRPN
3/16/2017,0.35,0.282,0.488,0.382,4.12,GRPN
3/17/2017,0.35,0.282,0.516,0.372,4.08,GRPN
3/20/2017,0.35,0.284,0.508,0.376,4.03,GRPN
3/21/2017,0.35,0.284,0.5,0.378,3.9,GRPN
3/22/2017,0.35,0.284,0.464,0.39,3.97,GRPN
3/23/2017,0.35,0.284,0.488,0.382,3.98,GRPN
3/24/2017,0.348,0.284,0.49,0.38,3.99,GRPN
3/27/2017,0.348,0.284,0.492,0.38,3.95,GRPN
3/28/2017,0.344,0.286,0.484,0.382,3.96,GRPN
